year,remaining,annual_loss,percent_remaining,loss_since_1970
1987,3744570,21130,91.3%,355430
1988,3723520,21050,90.8%,376480
1989,3705750,17770,90.4%,394250
1990,3692020,13730,90.0%,407980
1991,3680990,11030,89.8%,419010
1992,3667204,13786,89.4%,432796
1993,3652308,14896,89.1%,447692
1994,3637412,14896,88.7%,462588
1995,3608353,29059,88.0%,491647
1996,3590192,18161,87.6%,509808
1997,3576965,13227,87.2%,523035
1998,3559582,17383,86.8%,540418
1999,3542323,17259,86.4%,557677
2000,3524097,18226,86.0%,575903
2001,3505932,18165,85.5%,594068
2002,3484281,21651,85.0%,615719
2003,3458885,25396,84.4%,641115
2004,3431113,27772,83.7%,668887
2005,3412099,19014,83.2%,687901
2006,3397814,14285,82.9%,702186
2007,3386163,11651,82.6%,713837
2008,3373252,12911,82.3%,726748
2009,3365788,7464,82.1%,734212
2010,3358788,7000,81.9%,741212
2011,3352370,6418,81.8%,747630
2012,3347799,4571,81.7%,752201
2013,3341908,5891,81.5%,758092
2014,3336896,5012,81.4%,763104
2015,3330689,6207,81.2%,768935
2016,3322700,7989,81.0%,768935
